time,high,low,open,volumefrom,volumeto,close
2017-08-09,4641.41,4179.98,4397.14,10217.57,45132519.25,4417.15
2017-08-10,4546.91,4384.55,4426.77,421.27,1884893.98,4518.3
2017-08-11,4826.27,4439.88,4518.3,876.36,3970698.36,4712.17
2017-08-12,5175.93,4676.35,4712.17,667.59,3311375.4,4998.31
2017-08-13,5541.74,4994.46,4998.31,1483.87,7737186.43,5358.43
2017-08-14,5669.87,5168.49,5358.43,575.08,3150910.69,5669.84
2017-08-15,5737.37,5089.33,5669.84,1436.83,7748736.65,5383.79
2017-08-16,5701.95,5204.93,5383.79,814.36,4448577.73,5621.25
2017-08-17,5825.48,5505.11,5621.25,685.54,3868591.31,5629.03
2017-08-18,5704.42,5184.37,5629.03,1107.77,6058437.0,5429.29
2017-08-19,5651.2,5167.25,5429.29,914.17,4871951.76,5483.11
2017-08-20,5585.98,5275.75,5483.11,1062.26,5673503.04,5348.81
2017-08-21,5489.7,5229.91,5348.81,981.45,5192290.63,5246.8
2017-08-22,5337.88,4992.76,5246.8,1583.46,8100549.38,5208.36
2017-08-23,5507.45,5139.36,5208.36,605.22,3239950.75,5342.44
2017-08-24,5489.38,5262.02,5342.44,353.01,1889983.65,5462.5
2017-08-25,5590.77,5279.02,5462.5,717.27,3925237.16,5550.81
2017-08-26,5574.24,5436.6,5550.81,318.6,1753542.05,5513.19
2017-08-27,5566.26,5444.16,5513.19,232.71,1280918.27,5511.33
2017-08-28,5558.28,5381.01,5511.33,463.83,2533308.12,5506.84
2017-08-29,5814.74,5479.89,5506.84,755.74,4258990.07,5781.76
2017-08-30,5887.21,5663.39,5781.76,508.28,2943245.79,5808.52
2017-08-31,6095.79,5808.52,5808.52,518.75,3106044.03,6022.91
2017-09-01,6179.52,5990.39,6022.91,836.2,5075529.65,6177.03
2017-09-02,6218.19,5722.83,6177.03,714.25,4237571.4,5924.13
2017-09-03,6039.84,5708.74,5924.13,510.36,2974496.23,5857.9
2017-09-04,5863.32,5343.3,5857.9,867.03,4888272.04,5644.82
2017-09-05,5770.11,5318.05,5644.82,943.32,5221504.01,5684.08
2017-09-06,5928.67,5653.37,5684.08,611.68,3572070.73,5883.34
2017-09-07,5928.09,5706.16,5883.34,521.55,3021383.07,5840.17
2017-09-08,5890.63,5370.46,5840.17,1113.58,6151755.67,5679.84
2017-09-09,5679.84,5357.94,5679.84,440.17,2400710.76,5491.58
2017-09-10,5492.28,5142.9,5491.58,775.26,4123768.95,5351.42
2017-09-11,5436.99,5210.52,5351.42,591.76,3135539.49,5289.03
2017-09-12,5468.19,5207.47,5289.03,704.71,3747790.1,5233.51
2017-09-13,5305.66,4853.89,5233.51,1478.1,7429071.14,4982.82
2017-09-14,5006.84,4221.87,4982.82,2150.15,9867249.17,4260.09
2017-09-15,4978.28,3818.23,4260.09,2137.13,9474574.81,4744.54
2017-09-16,5051.4,4677.24,4744.54,791.78,3780932.63,4745.82
2017-09-17,4854.05,4613.49,4745.82,414.58,1963095.1,4783.64
2017-09-18,5377.27,4726.31,4783.64,999.6,5058701.54,5239.22
2017-09-19,5272.22,4928.74,5239.22,861.13,4355266.18,4984.46
2017-09-20,5158.23,4845.82,4984.46,654.45,3252304.11,5011.63
2017-09-21,5120.96,4527.62,5011.63,1302.46,6171145.15,4589.07
2017-09-22,4770.86,4488.95,4589.07,533.09,2453996.22,4616.2
